signal_time,entry_time,exit_time,entry_date,exit_date,side,entry,exit,sl,tp,atr,adx,ema50,ema200,st_direction_prev,st_direction_curr,signal_hour,entry_hour,weekday,month,risk_amt,risk_per_unit,pnl,pnl_r,won,exit_reason,bars_held,balance_after
2025-04-23 11:10:00,2025-04-23 11:15:00,2025-04-23 11:30:00,2025-04-23,2025-04-23,SELL,1.32994,1.328765,1.330779,1.328765,0.000839,35.2561,1.330926,1.331767,1,-1,11,11,2,4,50.0,0.000839,70.0,1.4,True,tp,4,10070.0
2025-05-28 13:30:00,2025-05-28 13:35:00,2025-05-28 13:35:00,2025-05-28,2025-05-28,SELL,1.35032,1.350794,1.350794,1.349656,0.000474,32.874,1.350297,1.350324,1,-1,13,13,2,5,50.35,0.000474,-50.35,-1.0,False,sl,1,10019.65
2025-06-18 13:50:00,2025-06-18 13:55:00,2025-06-18 14:05:00,2025-06-18,2025-06-18,SELL,1.3442,1.344696,1.344696,1.343506,0.000496,32.3055,1.345698,1.345973,1,-1,13,13,2,6,50.1,0.000496,-50.1,-1.0,False,sl,3,9969.55
2025-07-07 09:25:00,2025-07-07 09:30:00,2025-07-07 09:40:00,2025-07-07,2025-07-07,SELL,1.36101,1.360312,1.361509,1.360312,0.000499,30.2876,1.362405,1.363856,1,-1,9,9,0,7,49.85,0.000499,69.79,1.4,True,tp,3,10039.34
2025-07-11 09:00:00,2025-07-11 09:05:00,2025-07-11 09:10:00,2025-07-11,2025-07-11,SELL,1.35433,1.353698,1.354781,1.353698,0.000451,34.5637,1.355944,1.356873,1,-1,9,9,4,7,50.2,0.000451,70.28,1.4,True,tp,2,10109.61
2025-07-15 10:00:00,2025-07-15 10:05:00,2025-07-15 10:20:00,2025-07-15,2025-07-15,SELL,1.34299,1.343448,1.343448,1.342349,0.000458,33.0884,1.343557,1.344025,1,-1,10,10,1,7,50.55,0.000458,-50.55,-1.0,False,sl,4,10059.07
2025-07-17 13:15:00,2025-07-17 13:20:00,2025-07-17 13:20:00,2025-07-17,2025-07-17,SELL,1.33913,1.339631,1.339631,1.338428,0.000501,37.3185,1.339575,1.339856,1,-1,13,13,3,7,50.3,0.000501,-50.3,-1.0,False,sl,1,10008.77
2025-07-25 09:05:00,2025-07-25 09:10:00,2025-07-25 09:10:00,2025-07-25,2025-07-25,SELL,1.34901,1.348436,1.34942,1.348436,0.00041,32.7751,1.349616,1.351102,1,-1,9,9,4,7,50.04,0.00041,70.06,1.4,True,tp,1,10078.83
2025-07-29 09:30:00,2025-07-29 09:35:00,2025-07-29 09:40:00,2025-07-29,2025-07-29,SELL,1.33298,1.3335,1.3335,1.332252,0.00052,34.6939,1.334767,1.336494,1,-1,9,9,1,7,50.39,0.00052,-50.39,-1.0,False,sl,2,10028.44
2025-08-05 09:45:00,2025-08-05 09:50:00,2025-08-05 09:55:00,2025-08-05,2025-08-05,SELL,1.32757,1.32798,1.32798,1.326996,0.00041,31.079,1.328138,1.328418,1,-1,9,9,1,8,50.14,0.00041,-50.14,-1.0,False,sl,2,9978.3
