mode,session_start,session_end,adx_min,adx_max,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy
SELL_ONLY,8,14,30,40,26,50.0,1.396,2.646,75634.401,2.58,2.58,70.16,50.27,9.94
SELL_ONLY,8,15,25,40,41,48.78,1.331,2.259,50056.452,3.07,3.48,70.08,50.15,8.5
SELL_ONLY,8,14,25,40,39,48.72,1.327,2.24,48661.25,3.07,3.28,70.08,50.17,8.41
BOTH,8,14,30,40,47,46.81,1.225,1.636,33400.186,2.28,2.85,70.64,50.74,6.07
SELL_ONLY,8,15,30,40,30,46.67,1.219,1.591,43444.892,2.58,1.76,69.99,50.24,5.87
BOTH,8,15,25,40,89,46.07,1.191,1.401,29917.909,4.62,4.64,70.75,50.76,5.22
BUY_ONLY,8,14,30,45,24,45.83,1.176,1.327,31478.106,2.39,1.16,70.53,50.73,4.85
SELL_ONLY,8,15,25,45,46,45.65,1.171,1.27,25546.557,3.55,2.14,69.83,50.09,4.65
SELL_ONLY,8,14,25,45,44,45.45,1.161,1.208,24567.252,3.55,1.94,69.84,50.11,4.41
BOTH,8,15,30,40,56,44.64,1.123,0.95,19192.754,2.77,1.92,70.21,50.43,3.43
BOTH,8,14,25,40,81,44.44,1.113,0.887,18774.326,4.16,2.59,70.63,50.75,3.2
BOTH,8,15,25,45,97,44.33,1.108,0.851,17541.067,5.4,2.97,70.65,50.76,3.06
BUY_ONLY,8,15,25,45,52,44.23,1.103,0.82,16457.829,4.16,1.52,70.54,50.71,2.92
SELL_ONLY,8,14,30,45,32,43.75,1.083,0.667,17062.982,3.07,0.75,69.6,49.98,2.33
BUY_ONLY,8,15,25,40,48,43.75,1.082,0.667,13123.756,3.85,1.12,70.29,50.52,2.34
BOTH,8,14,30,45,55,43.64,1.077,0.63,12455.621,2.77,1.21,70.33,50.54,2.2
BUY_ONLY,8,15,30,45,30,43.33,1.064,0.534,15706.359,2.77,0.55,70.31,50.54,1.83
BOTH,8,14,25,45,88,43.18,1.057,0.486,10306.004,5.12,1.46,70.66,50.79,1.65
BUY_ONLY,8,14,30,40,21,42.86,1.043,0.382,8390.642,1.9,0.26,70.24,50.49,1.25
BUY_ONLY,8,15,30,40,26,42.31,1.02,0.206,5539.339,1.99,0.15,70.05,50.34,0.59
BUY_ONLY,8,14,25,45,45,42.22,1.017,0.179,3714.417,4.72,0.22,70.47,50.64,0.49
SELL_ONLY,8,15,30,45,36,41.67,0.994,0.0,4.045,3.07,-0.06,69.38,49.85,-0.17
BOTH,8,15,30,45,65,41.54,0.989,-0.041,-825.132,3.26,-0.21,69.79,50.15,-0.33
BUY_ONLY,8,14,25,40,42,40.48,0.947,-0.385,-8481.912,4.24,-0.67,70.2,50.41,-1.6
