month,trades,wins,pnl,avg_pnl,tp,sl,timeout,breakeven,win_rate
2024-12,1,0,-50.0,-50.0,0,1,0,0,0.0
2025-03,1,1,69.65,69.65,1,0,0,0,1.0
2025-04,1,1,70.14,70.14,1,0,0,0,1.0
2025-05,1,1,70.63,70.63,1,0,0,0,1.0
2025-06,1,1,71.12,71.12,1,0,0,0,1.0
2025-07,1,0,-51.16,-51.16,0,0,1,0,0.0
2025-08,2,1,20.009999999999998,10.004999999999999,1,1,0,0,0.5
2025-09,2,1,20.049999999999997,10.024999999999999,1,1,0,0,0.5
2026-02,2,2,143.58,71.79,2,0,0,0,1.0
2026-03,2,1,20.369999999999997,10.184999999999999,1,0,1,0,0.5
