trade_id,trade_date,entry_hour,side,entry_time,exit_time,entry,exit,sl,tp,risk_distance,bars_in_trade,max_hold_used,pnl,r_multiple,exit_reason,be_activated,mfe_r,mae_r,best_r,worst_r,orb_high,orb_low,atr_at_entry,adx_h1_at_entry,balance_after
1,2024-12-19,15,SELL,2024-12-19 15:10:00,2024-12-19 16:00:00,2603.01,2595.62,2614.3207559633747,2586.0438660549385,11.310755963374504,11,24,32.66801982082354,0.6534,timeout,False,0.7312,0.2166,0.7312,0.2166,2614.1,2603.23,2.207559633747606,22.227680633965385,10032.668019820823
2,2025-02-12,15,SELL,2025-02-12 15:10:00,2025-02-12 15:30:00,2882.61,2864.270264390989,2894.8364904060077,2864.270264390989,12.226490406007542,5,24,75.24501014865618,1.5,tp,False,1.5188,0.0098,1.5188,0.0098,2894.61,2883.46,2.264904060073746,35.778022726523155,10107.913029969479
3,2025-02-27,15,SELL,2025-02-27 15:30:00,2025-02-27 16:00:00,2889.38,2890.12,2898.68416216096,2875.42375675856,9.304162160960004,7,24,-4.019628803096569,-0.0795,timeout,False,0.8899,0.2279,0.8899,0.2279,2898.42,2888.6,2.6416216095999463,43.91166263923788,10103.893401166382
4,2025-04-04,15,SELL,2025-04-04 15:15:00,2025-04-04 16:00:00,3092.87,3076.9,3109.501803903654,3067.9222941445187,16.631803903654145,10,24,48.50922321816612,0.9602,timeout,True,1.3853,0.677,1.3853,0.677,3108.75,3096.05,7.518039036539113,24.050591603137853,10152.40262438455
5,2025-05-14,15,SELL,2025-05-14 15:00:00,2025-05-14 15:45:00,3220.09,3198.385800544822,3234.559466303452,3198.385800544822,14.469466303452009,10,24,76.14301968288493,1.5,tp,True,2.1252,0.161,2.1252,0.161,3234.25,3221.48,3.0946630345201793,26.835406982340004,10228.545644067433
6,2025-06-17,15,SELL,2025-06-17 15:05:00,2025-06-17 16:00:00,3385.66,3388.61,3396.5045478911275,3369.393178163308,10.844547891127604,12,24,-13.912156575327844,-0.272,timeout,False,0.2102,0.5348,0.2102,0.5348,3396.19,3386.96,3.145478911271772,27.073605722706443,10214.633487492105
7,2025-07-07,15,SELL,2025-07-07 15:30:00,2025-07-07 16:00:00,3302.47,3310.1,3315.4129692847223,3283.055546072916,12.942969284722494,7,24,-30.108104174194878,-0.5895,timeout,False,0.0286,0.7865,0.0286,0.7865,3315.08,3305.11,3.3296928472214375,37.75407646689033,10184.52538331791
8,2025-08-12,15,SELL,2025-08-12 15:40:00,2025-08-12 15:45:00,3348.08,3356.004309192845,3356.004309192845,3336.1935362107324,7.924309192845158,2,24,-50.92262691658955,-1.0,sl,False,0.3104,1.2506,0.3104,1.2506,3355.63,3348.48,3.74309192845134,31.80084423118492,10133.60275640132
9,2026-02-05,15,SELL,2026-02-05 15:05:00,2026-02-05 16:00:00,4822.57,4825.63,4935.79711245591,4652.729331316134,113.22711245591017,12,24,-1.3693197575212699,-0.027,timeout,False,0.1826,0.3999,0.1826,0.3999,4933.94,4826.62,18.571124559106803,35.344057047216396,10132.233436643799
10,2026-03-06,15,SELL,2026-03-06 15:55:00,2026-03-06 16:00:00,5101.88,5088.88,5130.971307026552,5058.243039460172,29.091307026551476,2,24,22.63889940664236,0.4469,timeout,False,0.9673,0.021,0.9673,0.021,5129.82,5108.97,11.513070265519302,28.018389121923033,10154.872336050441
11,2026-03-17,15,SELL,2026-03-17 15:40:00,2026-03-17 16:00:00,5017.13,5016.87,5044.6945935899785,4975.783109615033,27.564593589978358,5,24,0.4789235870205703,0.0094,timeout,False,0.2775,0.0352,0.2775,0.0352,5044.21,5019.95,4.845935899780674,22.207016115775197,10155.351259637462
12,2026-03-20,15,SELL,2026-03-20 15:25:00,2026-03-20 16:00:00,4681.07,4670.28,4728.466487003045,4609.975269495432,47.39648700304497,8,24,11.559531836657868,0.2277,timeout,False,0.4078,0.034,0.4078,0.034,4727.42,4685.55,10.464870030443848,31.368476573358354,10166.91079147412
